codice_provincia,sigla_provincia,nome_provincia,grado,materia,anno,livello_1,livello_2,livello_3,livello_4,livello_5,perc_copertura_stu_x,punteggio_medio_wle,deviazione_standard_wle,perc_copertura_stu_y,minore_95,95_110,maggiore_110
3,NO,NOVARA,13,Inglese R,2018-19,4.93517356754496,31.6185696361355,63.4462567963195,0.0,0.0,96.7233009708738,210.6,36.4722511005024,96.7624443545123,36.6,63.4,0.0
3,NO,NOVARA,8,Inglese L,2018-19,1.61040569835863,32.9204087952927,65.4072468256426,0.0,0.0,96.7345715997603,206.2,32.6758962117622,96.7925659472422,34.5,65.4,0.0
3,NO,NOVARA,13,Inglese L,2018-19,13.0962343096234,39.5397489539749,47.3640167364017,0.0,0.0,96.6828478964401,213.2,36.0613916661414,96.7219749089437,52.6,47.4,0.0
3,NO,NOVARA,8,Italiano,2020-21,14.133648728563,24.6303962152572,29.9822590183323,21.4370195150798,9.66883500887049,95.5367231638418,196.0,36.8879567328839,95.5367231638418,38.8,30.0,31.1
3,NO,NOVARA,13,Italiano,2020-21,15.3281321707205,25.6539697108766,29.4171638366223,20.330426801285,9.17852225791647,96.5440850686752,194.0,38.9575957483403,96.5440850686752,41.0,29.4,29.5
3,NO,NOVARA,8,Matematica,2020-21,19.7750148016578,23.7714624037892,26.6133806986382,17.3179396092362,12.4925991711072,95.4237288135593,194.1,38.3141792456365,95.4237288135593,43.5,26.6,29.8
3,NO,NOVARA,13,Matematica,2020-21,22.3394495412844,23.2110091743119,22.4770642201835,15.7339449541284,16.2385321100917,96.5883916703589,196.2,37.0895198445375,96.5883916703589,45.6,22.5,32.0
3,NO,NOVARA,8,Inglese R,2020-21,3.29572446555819,18.8836104513064,77.8206650831354,0.0,0.0,95.1412429378531,205.1,38.2859327167468,95.1412429378531,22.2,77.8,0.0
3,NO,NOVARA,13,Inglese R,2020-21,9.02394106813996,33.7476979742173,57.2283609576427,0.0,0.0,96.2339388568897,205.0,39.9090359912147,96.2339388568897,42.8,57.2,0.0
3,NO,NOVARA,8,Inglese L,2020-21,2.5,35.6845238095238,61.6964285714286,0.0,0.0,94.9152542372881,204.9,36.7808291826233,94.9152542372881,38.2,61.7,0.0
3,NO,NOVARA,13,Inglese L,2020-21,16.3661581137309,39.297272306981,44.336569579288,0.0,0.0,95.8351794417368,211.2,39.2705274824281,95.8351794417368,55.7,44.3,0.0
3,NO,NOVARA,8,Italiano,2021-22,13.4045801526718,25.2519083969466,30.5343511450382,20.5801526717557,10.2290076335878,94.2717328727691,196.9,36.2002436000821,94.2717328727691,38.7,30.5,30.8
3,NO,NOVARA,10,Italiano,2021-22,14.9359886201991,20.7325746799431,31.7923186344239,23.6842105263158,8.85490753911806,90.7975460122699,196.4,39.1290571928635,90.7975460122699,35.7,31.8,32.5
3,NO,NOVARA,13,Italiano,2021-22,12.7023661270237,23.3706932337069,32.5861353258614,21.6272312162723,9.71357409713574,96.1292897047087,197.3,36.8961070592772,96.1292897047087,36.1,32.6,31.3
3,NO,NOVARA,8,Matematica,2021-22,18.4992343032159,24.3797856049005,27.5038284839204,16.6003062787136,13.0168453292496,93.9838802533103,194.8,38.8764313387963,93.9838802533103,42.9,27.5,29.6
3,NO,NOVARA,10,Matematica,2021-22,14.0086206896552,28.6278735632184,26.867816091954,17.492816091954,13.0028735632184,89.8934452696158,197.9,33.4513706394432,89.8934452696158,42.6,26.9,30.5
3,NO,NOVARA,13,Matematica,2021-22,16.4446294754371,22.2314737718568,24.2714404662781,19.2339716902581,17.8184845961699,95.8499600957701,200.8,35.1856480733559,95.8499600957701,38.7,24.3,37.1
